Text,Polarity
ভ্যাক্সিন নিয়ে নিন কারন যারা বিদেশ যেতে চান তাদের জন্য এটি খুবই জরুরী  ,1
"প্রথম ডোজ দিছি ৩ মাস, দ্বিতীয় ডোজ এর খবর নাই। এখন আবার তৃতীয় ডোজের গান গাওয়া শুরু হইছে।",0
"অতিমাত্রায় গোলামীর ফলাফল হল অগ্রীম টাকা দিয়েও টিকা না পাওয়া। টাকাও ফেরত পাবেনা, আর পেলেও বহু কাঠ খড় পুড়িয়ে।",0
গো-ভ্যাক্সিন নেওয়ার আহবান,0
"সবার জন্য ভ্যাকসিন চাই
সবাই মিলেই বাঁচতে চাই-।",1
ভ্যাকসিন প্রত্যেকটি মানুষকে দেওয়া হোক নওগাঁ নচেৎ না হোক এই বাংলার মানুষের মনের তাগিদ জনগণের মনের কথা প্রায় 90 ভাগ মানুষই চায় লকডাউন আবার না দেওয়া হোক লকডাউন বিরোধিতা সবাই করছে যারা পুঁজিবাদী সুদখোর তারাই শুধুমাত্র লকডাউনের সমর্থন করে কেননা তাদের অঢেল সম্পদ রয়েছে জীবনের মায়া বেশি,0
"বাংলাদেশে পরীক্ষা করবে কেন? সুইডেনে উদ্ভাবন করছে ওইখানেই আগে পরীক্ষা(ক্লিনিকাল ট্রায়াল) করুক।
এগুলা লোকজন বুঝে, নেতৃত্বস্থানীয় ব্যক্তিবর্গ ভালো হইলে নিজেদের দেশে কখনোই অন্য দেশের ওষুধের ক্লিনিকাল ট্রায়াল করতে দিবে না।",0
"করোনা ভাইরাস আতঙ্ক নয়, করোনা ভাইরাস মোকাবেলায় নিজে সতর্ক থাকুন ও অন্যকে সুরক্ষিত রাখুন, সবাই মাস্ক ব্যবহার করুন এবং সোশ্যাল ডিসটেন্স মেনে চলুন, সম্ভব হলে সবাই ভ্যাকসিন নিন, মনে রাখবেন যতদিন আমরা সবাই ভ্যাকসিন না নিতে পারব অর্থাৎ কালেক্টিভ ইমুনিটি তৈরি না করতে পারব, ততোদিন মাস্ক এবং সোশ্যাল ডিসটেন্সই হোক আমাদের ভ্যাকসিন, সবাই ভালো থাকবেন, সুস্থ থাকবেন, সাবধানে থাকবেন।",1
প্রতিটি স্কুল মাদ্রাসায় ভেক্সিন এর ব্যাবস্থা করা হোক,1
টিকা প্রদান ব্যবস্থাপনায় বাংলাদেশ অন্যান্য এশিয়ান দেশ থেকে অনেক এগিয়ে।,1
কোনো সমস্যা হয়নি সব ঠিক ঠাক আছে শরীর ভ্যাক্সিন নিয়ে,1
"আজ ভ্যাক্সিন নিয়ে আসলাম ,ভ্যাক্সিন দেয়ার সব ব্যবস্থা ভাল",1
"আমি সৌদি যাবো,,, প্রতম ডুস এখনো পাইনা,,, আবেদন করলাম অনেকদিন হয়ে গেলো",0
করোনা যেকোনো মানুষকেই আক্রান্ত করতে পারে। কিন্তু টিকা নেওয়া থাকলে গুরুতর অসুস্থতা অথবা মৃত্যুর ঝুঁকি থাকে না।,1
ভাললাগছে। নিজ দেশের ভ্যাকসিনের সফলতার জন্য দোয়া করি,1
এখন পর্যন্ত ভ্যাক্সিনেশন ই করোনার বিরুদ্ধে সবচেয়ে কার্যকর উপায়। তাই তাড়াতাড়ি ভ্যাক্সিন দিন,1
"টিকা নিলে শ্বাসকষ্টে মানুষ মরে না। ইনশাআল্লাহ।
আসুন সবাইকে ভ্যাকসিন ♥ নিতে উৎসাহিত করি।
একা ভালো থাকার সুযোগ নেই।",1
এই টিকা কি তোমাকে বাচাতে পারবে,0
সংক্রমণের মাত্রা কমিয়ে নতুন ভ্যারিয়েন্টের সৃষ্টি থামানোর অবিলম্বে সবাইকে টিকার আওতায় আনতে হবে। ,1
"যারা টিকার ডেট পেয়েছেন, আলসেমি করে দিচ্ছেন না , তারা দ্রুত দিয়ে ফেলেন ভ্যাক্সিন। করোনা আবারো বাড়ছে। টিকার বিকল্প নাই",1
পরিবারের বয়স্কদের যত দ্রুত সম্ভব টিকা দিন। এতে করে তাদের আক্রান্ত হওয়ার ঝুঁকি কমবে। ,1
যত দ্রুত সম্ভব সকলকে টিকা প্রদান করা ।। এ বিষয়গুলো সরকার গুরুত্ব সহকারে কার্যকর করলেই একমাত্র করোনার হাত থেকে রক্ষা পাওয়া সম্ভব। ।।,0
"৩য় ডোজ কমপ্লিট
ভ্যাক্সিন",1
"ভ্যাক্সিন নিয়ে গুজব নয়, সঠিক তথ্য জানুন।ভ্যাক্সিন দিয়ে ফেলুন।",1
"আমি এক সপ্তাহ হয় মডার্না ২য় ডোজ  টিকা দিলাম, তেমন কোন সমস্যা হয় নি । প্রথম ডোজ এর পর ও সুস্থই ছিলাম",1
টিকা নিয়ে ব্যাপসা সুরু হয়েছে এখন,0
"মডার্না, ফাইযার, সিনোফারম সবই বিশ্বজুড়ে গ্রহণযোগ্যতা পেয়েছে। টিকা নিয়ে বিভ্রান্ত না হয়ে আজই নিবন্ধন করুন।  ",1
টিকার ভেতর কি স্যালাইন ছিল...,0
নিজে সচেতন হই এবং অন্যকে সচেতন হতে সাহায্য করি।সবাই মাস্ক ব্যবহার করি।আল্লাহ আমাদের সহায় হওক। অন্যদের টিকা গ্রহণে উৎসাহিত করুন। আমিন,1
"হাজার কোটি টাকা খরচ করে বিদেশী টিকা কিনে আনা হয়!দেশী কোম্পানী ধনী হয়েযাবে এ ভয়ে,নাকি অন্যকোন অদৃশ্য ষড়যন্ত্রে তাদের নিরুৎসাহিত করা হয়!এ রাষ্ট্রে সবই সম্বভ!",0
"কাজ হচ্ছে না টিকাই",0
"শেখ হাসিনার নেতৃত্বে সম্পূর্ণ দেশ জুড়ে কোভিড টিকা সরবরাহ অব্যাহত রয়েছে। জয় বাংলা, জয় বঙ্গবন্ধু। ",1
"আপনি হয়তো নিজে করোনা আক্রান্ত হচ্ছেন না দেখে ভ্যাক্সিন নিচ্ছেন না, কিন্তু আপনার পরিবারের অন্যান্য মানুষজন বিশেষ করে বাচ্চা ও বয়স্করা আপনার দ্বারা সক্রমিত হতে পারে। তাই দেরি না করে ভ্যাক্সিন নিন।",1
সুসংবাদ! শিশুদের জন্য আসছে বেবি ভ্যাক্সিন।,1
"ভ্যাক্সিন নেয়ার পর খুব ভালো আছি, কোন সমস্যা হয়নি",1
চীনের টিকার প্রথম ডোজ ২৫ মে শুরু,1
"নিযে ভ্যাক্সিন নিন, অন্যকেও উদ্বুদ্ধ করুন",1
"কোন কোম্পানিই বলে নাই যে, টিকা একশভাগ সুরক্ষা দেবে, বলে নাই করোনা হবে না কিংবা মারা যাবে না! টিকা শরীরে এন্টিবডি তৈরি করতে সাহায্য করে ।
অতএব টিকা দিতে হবে আমাদের সকলকে সেই সাথে অবশ‍্যই স্বাস্থ্যবিধি মেনে চলতে হবে বাকিটা আল্লাহ ভরসা",1
কবে আসবে? না জানি কবে গন টিকা দেওয়া হবে । জানিনা কবে আগের মতো স্বাধিন হবো,0
এসব টিকা ফিকা কিছুই না লকডাউন চলছে চলবে। লকডাউন ই একমাত্র সমাধান কমপক্ষে আগামী তিন বছরএসব টিকা ফিকা কিছুই না লকডাউন চলছে চলবে। লকডাউন ই একমাত্র সমাধান কমপক্ষে আগামী তিন বছর,0
বাংলা দেশের টিকা বঙ্গ ভেস্ক সরকার যদি সঠিক সময় ওনোমদন দিতো তাহলে টিকা নিয়ে এই জটিলতা তৈরি হতো না।,0
"আগে ভ্যাক্সিন আন ,তার পর সতর্ক করতে আসিস",0
"শুধু নাকি টিকা আসতেছে, কোথায় সেগুলো?",0
টিকা কেন্দ্রে কোন অনিয়মের অভিযোগ নেই। সবাই সাবলীলভাবে টিকা দিচ্ছে,1
"টিকা দান কেন্দ্র অনেক ভালো, সুশৃঙ্খল ব্যবস্থাপনা লক্ষ্য করেছি",1
"আমি মডার্না ভ্যাক্সিন পেয়েছি ২ ডোজ ই, বুস্টার ডোজ এর জন্য অপক্ষা করছি।",1
দেশে কি টিকাও নকল হয়ে গেল নাকি!!!!,0
দেশের জনগনের টাকায় টিকা কিনবেন। তার মধ্যে নিশ্চই বড় রকমের চুরি আছে না হলে,0
করোনাভাইরাস টিকার জন্য নিবন্ধন করতে সহায়তা করুন ও এ মহামারি মোকাবেলায় এগিয়ে আসুন,1
"ভ্যাক্সিন নেয়ার পর পেশিতে ২ দিন ব্যথা ছিল। ছোটকালে বিভিন্ন টিকা নেয়ার পরও এরকম ব্যথা হত, এটা স্বাভাবিক। এটা নিয়ে শঙ্কিত হওয়ার কিছু নেই। সুরক্ষিত থাকতে ভ্যাক্সিন নিন।",1
আমি মনে করি এই টিকাই তার মৃত্যুকে তরান্বিত করেছে।,0
তেমন কিছু হয়নি। প্রথম দুই দিন হাতে ব্যথা এবং হালকা জ্বর ছিল। এখান আলহামদুলিল্লাহ সুস্থ।,1
বাংলাদেশের প্রতিটি উপজেলা হাসপাতালে টিকা দেওয়ার ব্যবস্থা করলে তো এই কাহিনি হইতো না৷,0
টিকা দেয়ার পর তেমন কোন জটিলতা দেখা দেয় নি। সুস্থ আছি আলহামদুলিল্লাহ।,1
"লাভ নাই,, কিছু নতুন ভেরিয়েন্ট এসব টিকাতেও কাজ হচ্ছেনা,, টিকা দেয়ার পরও অাক্রান্ত হচ্ছে",0
লকডাউন দিয়েও জনসমাগম বন্ধ করা সম্পূর্ণভাবে সম্ভব না। একমাত্র টিকা গ্রহন ই নিজের সুরক্ষার অন্যতম মাধ্যম,1
"আমার আজকে ২য় ডোজ এর ডেট। আগেরবারও ভ্যাক্সিন দিয়ে এসেছি কোনরকম ঝামেলা ছাড়া, এইবারো কোন সমস্যা হবে না আশা করি।",1
এই চ্যানেলে কোন কোম্পানির টীকা আসছে আপনারা আমাদের জানাচ্ছেন না কিছু লুকাচ্ছেন কি আপনারা আমাদের জানালে কি আপনাদের কোন অসুবিধা আছে,0
ফাইজার টিকা অনেক ভালো আমাদের দুবাইতে এগুলো দিতে দেখছি এবং আমিও দিয়েছি,1
"দুই ডোজ টিকা গুলো
মনে হয় বুড়িগঙ্গা নদীর পানি ছিলো",0
"রেজিষ্ট্রেশন করে বসে আছি, ভয়ে টীকা নিতে পারছি না ",0
"টিকা ফিকা কিছু না
দুই ডোজ আবার কি",0
টিকাদান ব্যবস্থাপনায় বাংলাদেশ অন্যান্য এশিয়ান দেশ থেকে অনেক এগিয়ে।,1
আমার বাবা মা ২ জনই ভ্যাক্সিন নিয়েছে। সবাই ভাল আছে আলহামদুলিল্লাহ,1
ধনীরা ভ্যাকসিন গুলিয়ে খা একটি কিনবো না আমরা কারন ভাত খাওয়ার টাকা নেই ভ্যাকসিন তাতে বিলাসিতা মাএ ,0
করোনাভাইরাস এর টিকা নেয়ার কতদিন পর্যন্ত বাচ্চা নেয়া যাবেনা।যখন টিকা নিয়েছি তখন একজন নার্স বলেছেন টিকা নেয়ার ৬ মাস পর্যন্ত বাচ্চা নেয়া যাবেনা।,0
দেশে করোনা রুগীর চেয়ে এরকম ফাউল ফুড ব্লগার এখন সংখ্যায় বেশি। এদেরকে ভ্যাক্সিনেশন এর আওতায় আনা খুব দরকার,0
"আপনি ভাবছেন টিকা না দিয়ে সুরক্ষিত আছেন। পরিসংখ্যান দেখলেই বুঝবেন, মৃত্যুহার তাদের মধ্যেই বেশি যারা টিকা গ্রহণ করেনি। সতর্ক হোন, টিকা গ্রহণ করুন।",1
টিকা যারা নিয়েছেন তাদের সংক্রমণের হার অনেক কম যারা টিকা নেননি তাদের তুলনায়। সুতরাং টিকা দ্রুত নিয়ে সবাই যদি স্বাস্থ্যবিধি অনুসরণ করে তবে একসময় করোনা মহামারী নিয়ন্ত্রণে চলে আসবে ইনশাআল্লাহ।,1
টিকার জন্য নিবন্ধন করেছি কিন্তু আমার এসএমএস আসছে না,0
"ইউনিসেফকে সাধুবাদ জানাই,",1
সচেতন নাগরিক হিসেবে সবার উচিৎ টিকা গ্রহন করা। ,1
"এই সব শিরোনামের কারনে সচেতন মানুষগুলো অসচেতন হয়ে যায়।
টিকা নিন,সুস্থ থাকুন।",1
"আলহামদুলিল্লাহ্‌ ❤️
প্রথম ডোজ করোনা 
টিকা গ্রহণ করেছি।",1
" দেরি না করে ভ্যাক্সিন নিন। আমি নিয়েছি, সবাইকে সচেতন করাই আমাদের টিকে থাকার একমাত্র উপায়। ",1
"গবেষকদের মতে, গর্ভবতী ও প্রসূতি মায়েরাও করোনাভাইরাস টিকা নিতে পারবেন",1
"ওরে বাঙ্গালি! আদৌ কেউ টিকা নিবেনা, কত অভিনয় দেখলাম টিকা নেওয়া নিয়ে।
 আর এখন হাহুতাশ শুরু করছে!!",0
দেখা যাচ্ছে বিমান থেকে নামানোর ছবি! বলা হচ্ছে শিপমেন্ট সেপি। অর্থের সামঞ্জস্য আছে কিনা? যদি থাকে তাহলে আমার অগ্যতা আর না থাকলে উনিসেফ বাংলাদেশ পেজ থেকে? খুবই বিষ্মিত হলাম। ধন্যবাদ।।,0
"আসলে মানুষ না জেনে অনেক কথা ছড়ায়, টিকা পরবর্তী তেমন কোন জটিলতা দেখা দেয় না। ভয় না পেয়ে আজ ই ভ্যাক্সিন নিন।",1
"টিকা দানে উৎসাহিত করতে বিভিন্ন ক্যাম্পেইন করা উচিত,তাহলে ভ্যাক্সিন নিয়ে মানুষের মধ্যে ভ্রান্ত ধারনা সৃষ্টি হবে না",1
লকডাউন দিয়েও সবার চলাচল বন্ধ করা সম্পূর্ণভাবে সম্ভব না। একমাত্র টিকা গ্রহন ই নিজের সুরক্ষার অন্যতম মাধ্যম,1
ম্যাসেজ পেয়ও টিকা পাচ্ছিনা,0
চীন থেকে প্রায় ৬ লক্ষ ভ্যাক্সিন নিয়ে যাত্রা শুরু করেছে বাংলাদেশ বিমানবাহিনীর C-130J পরিবহন বিমান।,1
"টিকার মেয়াদ নিয়ে কারো ভাবার টাইম নাই, মনে প্রশ্ন ও আসে না এই ২ ডোজ টিকা দিলেই কি হবে, না বছর বছর দিতে হবে। আর এখনতো পিছনের পকেট থেকে টাকা নিচ্ছে, সামনে দিতে হলে কি সামনের পকেট থেকে নিবে।",0
টিকা তো করোনা থেকে ভয়াবহ মারাত্মক।,0
যে দেশ সিঙ্গাপুরের চেয়েও উন্নত। সে দেশে বাহির থেকে টিকা নিয়ে আসতে হবে কেন?,0
ভ্যাক্সিন নিন সুস্থ থাকুন-----,1
আজ ১ মাস হলো এখনো ১ম ডোজ টিকা নিতে পারলাম না 😢 টিকা নাকি শেষ হয়ে গেছে 😭,0
আমি প্রথম ডোজ টিকা দিয়েছি একমাস পেরিয়ে দুই মাসের কাছাকাছি এখনো দ্বিতীয় ডোজ টিকার মেসেজ আসেনি,0
আমি ২০ জুলাই রেজিষ্টেশন করেছি।এখন‌ কোন এসএমএস পাইনি।,0
"এভাবে বলতে হবে, টিকার প্রলোভন দেখিয়ে টাকা নিয়েছে। ধন্যবাদ",0
"মানুষের মৃত্যু টিকা ঠেকাতে পারবে, টিকা দিয়ে লাভ কি",0
সমস্যা নাই বাংলাদেশর লাগবে না বাংলাদেশ টিকা হাঙ্গেরি রপ্তানি করে,0
এত ভ্যাক্সিন আসার পর ও মানুষ টিকা দিতে পারছেন না।,0
বাংলাদেশের ইউনিসেফ কে অনেক অনেক অভিনন্দন জানাচ্ছি,1
ভ্যাক্সিন নিয়েছেন দেখে অসতর্ক হয়ে চলা যাবে না। ভ্যাক্সিন নিন সতর্ক থাকুন।,1
রাষ্ট্র আমার ট্যাক্সের টাকা দিয়ে সব করতেছে এইখানে ফাঁফরবাজি করার কিছু নাই কেউ কারো বাপের টাকা দিয়ে টিকা এনে দিচ্ছে না।,0
লকডাউন না দিয়ে দ্রুত টিকা দেন,0
সেরাম এর কাছ থেকে টাকা ফেরত নেওয়া হোক।টিকাই যখন দিলোনা তখন টাকা কেন ফেলে রাখবো?,0
প্রথম ডোজ ই দিতে পারলাম না,0
এখন পর্যন্ত ভ্যাক্সিনেশন ই করোনার বিরুদ্ধে সবচেয়ে কার্যকর উপায়। তাই অনতিবিলম্বে ভ্যাক্সিন দিন,1
দেশে করোনাভাইরাসের টিকার দ্বিতীয় ডোজ দেওয়া নিয়ে ‘চিন্তা’র কথা জানালেন স্বাস্থ্যমন্ত্রী জাহিদ মালেক…,0
"আজ১ মাস হলো এখনো১,ম ডোজ টিকা নিতে পারলাম না টিকা নাকি শেষ হয়ে গেছে আমি সাবর সাহায্য চাই ।।০১৮৭৪৫৭৪৭০৬ আমাকে সাহায্য করুন",0
"শুধুমাত্র বয়স্করাই না, ভ্যাক্সিন নিতে হবে যুবকদেরও। করোনা প্রতিরোধে ভ্যাক্সিন এর বিকল্প নাই  ",1
পৌনে ২ কোটি লোককে ১ম ডোজ টিকা দেওয়া শেষ আর আপনারা বলছেন ৫% লোকও টিকা পায়নি।সরকারের ও রাষ্ট্রের বিরুদ্ধে অপপ্রচার চালাচ্ছেন আপনারা।,0
"কোন গুজবে কান না দিয়ে এক্সপারট সাজেশন নিয়ে ভ্যাক্সিন নিতে যান, আশা করি ভ্রান্ত ধারনা পরিষ্কার হবে। ",1
"খালি বাংলাদেশে একবার অফার দেন, টিকা নেয়ার জন্য খুনাখুনি হয়ে যাবে",0
"দেশের করোনা পরিস্থিতি নিয়ন্ত্রণের বাইরে চলে গেছে। পরিস্থিতি নিয়ন্ত্রণে আনতে এখন দরকার গণ টিকা কার্যক্রম ।
আজ থেকে রেজিস্ট্রেশন শুরু হয়েছে ",1
"খালি ভ্যাক্সিন দিলেই হবে না, মাস্ক পড়তে হবে আর হাত একটু পর পর সেনিটাইজ করতে হবে। ভ্যাক্সিন অবশ্যই করোনা প্রতিরোধে সাহায্য করে,  তারপরো সতর্ক থাকতে হবে।",1
"আজ টিকা নিতে এসে কোন ভিড় ও পাইনি, আর টিকা দেয়ার ব্যবস্থা আগের মতই স্বাভাবিক।",1
গুজবে কান দিবেন না। ২ ডোজ টিকা নিয়েছি কোন পার্শ্ব প্রতিক্রিয়া দেখা দেয় নি । সবাই করোনা থেকে বাঁচতে টিকা দিন।,1
"ভ্যাক্সিন নিন, নিজে বাচুন, দেশকে বাঁচান।",1
ধন্যবাদ ইউনিসেফ কর্তিপক্ষকে,1
আমাদের এলাকার ডাক্তারের কাছে শুনলাম টিকা নিয়েও তার জানা মানুষ মারা গিয়েছে।,0
কেন্দ্রে কেন্দ্রে সাস্থ্যবিধি মেনে চলছে টিকাদান কর্মসূচি,1
"আল্লাহ্ ই একমাত্র ভরসা, টিকা না!",0
"আমার দ্বিতীয় ডোজ নেয়ার সময় ১৮/০৫/২১ তাং, কিন্তু আজও ম্যাসেজ পাই নাই।",0
প্রত্যন্ত অঞ্চলে টিকা প্রদানকারী দের একটু খোঁজ খবর নেন...,0
"দারিদ্রতা , ক্ষুধা , করোনা সহ কিছু জয় করার শক্তি জোগায় । এটাই সত্য.",1
"ভ্যাকসিন নিন, করোনা থেকে নিজে বাঁচেন, অন্যকে বাঁচাতে সাহায্য করেন, কালেক্টিভ ইমুনিটি তৈরিকরেন, দেশকে বাঁচান।",1
আমরা সরকারি চাকরি করি এ জন্য লইতে হয় টিকা।,0
"তাইলে আমরা গতকাল কিসের টিকা পাইলাম। আগামিকাল থেকে যদি শুরু করেন, সিনোফার্মা, মর্ডানা আমাদের কি দিলেন তাইলে।",0
টিকার সরবরাহ নিশ্চিত করতে দৃঢ় প্রতিজ্ঞ বাংলাদেশ সরকার। সবাইকে টিকাদানের আওতাভুক্ত করা হবে ১ বছরের মধ্যে,1
এসব গুজব টিকা নেয়ার পর হতেই পারে না করোনা।,1
"আমার দ্বিতীয় ডোজ দেয়া হয়েছে। এখন বুস্টার ডোজ নিতে
চাই।",1
"এক মাস হলো খবর হলো না, আমরা কবে টিকা পাবো আল্লাহই ভালো জানেন",0
দ্বিতীয় ডোজ পেয়ে যাবেন ধামা নিয়ে বসে থাকেন,0
স্বাস্থ্য সহকারী রা প্রথম থেকেই ভ্যাকসিন প্রদান করে আসছে।,1
"আর কেউ খাচ্ছে না টিকা, তাই বাঙালি কে খাওয়া এখন।",0
ভাই আমি টিকা দি নাই আমি টিকা দিতে চাই,1
ভাইরাসের বিরুদ্ধে শরীরের প্রতিরোধ ক্ষমতা গড়ে তুলতে টিকা নেওয়া অত্যন্ত জরুরি ,1
টিকা খুঁজছে বাংলাদেশ,0
টিকা মানুষ মরার মেসিন এটা পরিস্কার... কেননা টিকা নিতে ধনীরা আগ্রহী না…,0
"আসলে কি হবে আমরাত পাচ্ছি না",0
এতো টাকার ভ্যাকসিন কিনে এভাবে ভিক্ষা করে চাওয়ার কী আছে বাঙালি আর কিছু না জানলে অন্য দেশের কাছে ভিক্ষা ঠিকই চায়তে পারে,0
"আলহামদুলিল্লাহ 
ভ্যাক্সিন কমপ্লিট",1
একটা পাইনা আর দুইটার আসা কি করব,0
"মডার্না, ফাইযার, সিনোফারম সবই বিশ্বজুড়ে গ্রহণযোগ্যতা পেয়েছে। টিকা নিয়ে ভুল সংবাদ না ছড়িয়ে আজই নিবন্ধন করুন।  ",1
এটা যারা ভেক্সিন নিয়েছে তাদের ...। আসলে ভ্যাক্সিনের ফরমুল কি সেটা প্রকাশ করা হচ্ছে না,0
"আগে যানতাম গাজার নৌকা পাহাড়তলী যায়, এখন দেখি চিনা ভ্যাক্সিন ও পাহাড়তলী যায়",0
"ভ্যাক্সিন নেবার পর আল্লাহর রহমতে এখনও সুস্থ আছি, কোনরকম সমস্যা দেখা দেয় নি",1
যারা প্রথম ডোজ দিয়ে ২য় ডোজের অপেক্ষা করছে তাদের টিকার নিশ্চয়তা দিন।,0
"টিকা সম্পর্কে ভ্রান্ত ধারনা বাদ দিন, সব টিকারই কার্যকারিতা বিশ্বব্যাপী গ্রহনযোগ্য।",1
জুলাই মাসে ১৭ তারিখ ভ্যাকসিন রেজিষ্ট্রেশন করেছিলাম এখন পযন্ত মেসেজ আসে নি,0
"হাসিনার বাবার মৃত্যু দিবস শেষ হলেও আবার করোনা আক্রান্তের হার ১০০০০ হাজারে পৌছাবে আর মৃত্যু হবে ৩০০+
আর কতদিন করোনা আপাকে রাজনীতির ইসু বানাবি আর আমাদের পিসু করাবি,
আমরা না খেয়ে মরি এটাই তুই চাস",0
"পৃথিবীতে এমন কোনো টিকা এখন পর্যন্ত আবিষ্কার হয়নি যেটা ১০০% কার্যকর। ছোটবেলায় হাম, নিউমোনিয়ার টিকা নেওয়ার পরেও কিন্তু অনেকে পরবর্তীতে আক্রান্ত হয়ে মারা যায়। আর করোনার দুই ডোজ টিকা মৃত্যু ঠেকাতে পারে ৯৮% অর্থাৎ কিছু মানুষ মারা যেতেই পারে যা খুবই রেয়ার কেস।",1
"প্রচন্ড স্বাস্থ্যবিধী মেনে ভ্যাকসিন দেওয়া হচ্ছে , 
অনেক নিরাপদ দুরত্ব একেক জন ।",1
টিকা নিবো না।,0
"করোনার সময় মাননীয় প্রধানমন্ত্রী জননেত্রী শেখ হাসিনার প্রণোদনা ভাতার ২৫০০/- টাকা মৌলভীবাজার জেলার কমলগঞ্জ উপজেলার শমশেরনগর ইউনিয়নের একজন লোকও পেল না।অথচ ৮৫০ জনের তালিকা করে তাদের প্রত্যেকের মোবাইল নাম্বার দেয়ার পর সরকারি প্রাথমিক বিদ্যালয়ের শিক্ষক দিয়ে সেই নাম্বারে কল করে যাচাই-বাছাই করার পরেও কেন পেল না।
এটা কি কোন দুর্নীতির কারণে আত্মসাৎ করা হল নাকি এই ইউনিয়নের জনগণ কোন অপরাধে অপরাধী যার কারণে তারা মাননীয় প্রধানমন্ত্রীর প্রণোদনা থেকে বঞ্চিত হল।
জানি না শমশেরনগরের মানুষ এই প্রশ্নের জবাব আদৌ পাবে কি না।",0
বাংলাদেশের প্রেক্ষাপটে টিকাদান কর্মসূচির এহেন সুষ্ঠ ব্যবস্থাপনা সত্যি প্রশংসনীয়,1
আপনি টিকা নিতে গেলে টিকা পাবেননা,0
"টিকা যদি করোনার চেয়ে ভয়ংকর হয়, তবে সেই টিকা না দেওয়াই উত্তম,,",0
ভারতে করোনা ভাইরাসের সংক্রমণ বেড়ে যাওয়ার পর দেশটি টিকা রপ্তানী বন্ধ করে দেয়। ফলে বাংলাদেশের টিকা পাওয়ার বিষয়টি অনিশ্চয়তার মুখে পড়েছে।,0
"ভারতের টিকা নিলে এরকমই হবে,",0
